,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
4,Accounting-050200,759,699,564,92.09%,74.31%,689,613,486,88.97%,70.54%,Chaffey Total
5,Advertising-050910,28,25,19,89.29%,67.86%,31,28,18,90.32%,58.06%,Chaffey Total
6,Banking and Finance-050400,19,18,16,94.74%,84.21%,29,27,23,93.10%,79.31%,Chaffey Total
7,Business Administration-050500,745,694,567,93.15%,76.11%,560,510,404,91.07%,72.14%,Chaffey Total
8,"Business and Commerce, General-050100",541,492,394,90.94%,72.83%,456,403,302,88.38%,66.23%,Chaffey Total
9,Business Management-050600,209,188,150,89.95%,71.77%,209,193,143,92.34%,68.42%,Chaffey Total
10,Escrow-051110,38,38,31,100.00%,81.58%,26,24,18,92.31%,69.23%,Chaffey Total
11,International Business and Trade-050800,0,0,0,0,0,50,48,32,96.00%,64.00%,Chaffey Total
12,Logistics and Materials Transportation-051000,57,54,30,94.74%,52.63%,36,33,24,91.67%,66.67%,Chaffey Total
13,Management Development and Supervision-050630,78,75,66,96.15%,84.62%,95,87,57,91.58%,60.00%,Chaffey Total
14,Marketing and Distribution-050900,92,81,50,88.04%,54.35%,73,65,51,89.04%,69.86%,Chaffey Total
15,Office Management-051440,10,9,5,90.00%,50.00%,27,27,27,100.00%,100.00%,Chaffey Total
16,Office Technology/Office Computer Applications-051400,377,341,263,90.45%,69.76%,240,224,182,93.33%,75.83%,Chaffey Total
17,Real Estate-051100,287,265,217,92.33%,75.61%,334,305,252,91.32%,75.45%,Chaffey Total
18,Retail Store Operations and Management-050650,33,28,24,84.85%,72.73%,0,0,0,0,0,Chaffey Total
19,Sales and Salesmanship-050940,29,24,18,82.76%,62.07%,30,25,19,83.33%,63.33%,Chaffey Total
20,Small Business and Entrepreneurship-050640,56,50,40,89.29%,71.43%,64,57,46,89.06%,71.88%,Chaffey Total
21,Tax Studies-050210,35,30,27,85.71%,77.14%,0,0,0,0,0,Chaffey Total
22,Non Distance Education Methods Total,528,486,388,92.05%,73.48%,461,430,365,93.28%,79.18%,Chaffey Total
23,Accounting-050200,89,84,68,94.38%,76.40%,121,116,106,95.87%,87.60%,Chaffey Total
24,Advertising-050910,10,10,9,100.00%,90.00%,8,8,8,100.00%,100.00%,Chaffey Total
25,Business Administration-050500,150,141,119,94.00%,79.33%,206,191,166,92.72%,80.58%,Chaffey Total
26,"Business and Commerce, General-050100",186,170,131,91.40%,70.43%,86,79,59,91.86%,68.60%,Chaffey Total
27,Business Management-050600,12,11,10,91.67%,83.33%,30,26,16,86.67%,53.33%,Chaffey Total
28,International Business and Trade-050800,16,14,9,87.50%,56.25%,0,0,0,0,0,Chaffey Total
29,Marketing and Distribution-050900,0,0,0,0,0,10,10,10,100.00%,100.00%,Chaffey Total
30,Office Technology/Office Computer Applications-051400,12,10,6,83.33%,50.00%,0,0,0,0,0,Chaffey Total
31,Sales and Salesmanship-050940,34,31,30,91.18%,88.24%,0,0,0,0,0,Chaffey Total
32,Small Business and Entrepreneurship-050640,19,15,6,78.95%,31.58%,0,0,0,0,0,Chaffey Total
33,Simultaneous Interaction (Internet Based) Total,32,31,27,96.88%,84.38%,55,52,35,94.55%,63.64%,Chaffey Total
34,Tax Studies-050210,32,31,27,96.88%,84.38%,55,52,35,94.55%,63.64%,Chaffey Total
35,Citrus Total,"1,538","1,401","1,103",91.09%,71.72%,"1,466","1,310","1,055",89.36%,71.96%,Citrus Total
36,Delayed Interaction (Internet Based) Total,"1,078",967,745,89.70%,69.11%,"1,075",953,764,88.65%,71.07%,Citrus Total
37,Accounting-050200,332,296,255,89.16%,76.81%,369,317,258,85.91%,69.92%,Citrus Total
38,Advertising-050910,4,4,3,100.00%,75.00%,15,15,9,100.00%,60.00%,Citrus Total
39,Banking and Finance-050400,37,33,23,89.19%,62.16%,55,52,30,94.55%,54.55%,Citrus Total
40,Business Administration-050500,93,83,66,89.25%,70.97%,74,68,62,91.89%,83.78%,Citrus Total
41,"Business and Commerce, General-050100",233,217,152,93.13%,65.24%,197,180,146,91.37%,74.11%,Citrus Total
42,Business Management-050600,13,9,5,69.23%,38.46%,11,8,6,72.73%,54.55%,Citrus Total
43,Escrow-051110,24,18,13,75.00%,54.17%,22,18,15,81.82%,68.18%,Citrus Total
44,Management Development and Supervision-050630,18,16,9,88.89%,50.00%,12,11,11,91.67%,91.67%,Citrus Total
45,Marketing and Distribution-050900,36,33,24,91.67%,66.67%,17,14,12,82.35%,70.59%,Citrus Total
46,Office Technology/Office Computer Applications-051400,12,10,10,83.33%,83.33%,34,29,26,85.29%,76.47%,Citrus Total
47,Real Estate-051100,238,221,166,92.86%,69.75%,225,199,151,88.44%,67.11%,Citrus Total
48,Tax Studies-050210,38,27,19,71.05%,50.00%,44,42,38,95.45%,86.36%,Citrus Total
49,Non Distance Education Methods Total,368,345,278,93.75%,75.54%,277,248,192,89.53%,69.31%,Citrus Total
0,Accounting-050200,148,137,116,92.57%,78.38%,133,119,98,89.47%,73.68%,Citrus Total
1,Banking and Finance-050400,25,25,19,100.00%,76.00%,0,0,0,0,0,Citrus Total
2,Business Administration-050500,47,43,41,91.49%,87.23%,42,36,28,85.71%,66.67%,Citrus Total
3,"Business and Commerce, General-050100",111,104,75,93.69%,67.57%,72,67,46,93.06%,63.89%,Citrus Total
4,Real Estate-051100,29,28,24,96.55%,82.76%,25,21,15,84.00%,60.00%,Citrus Total
5,Small Business and Entrepreneurship-050640,8,8,3,100.00%,37.50%,0,0,0,0,0,Citrus Total
6,Tax Studies-050210,0,0,0,0,0,5,5,5,100.00%,100.00%,Citrus Total
7,Simultaneous Interaction (Internet Based) Total,92,89,80,96.74%,86.96%,114,109,99,95.61%,86.84%,Citrus Total
8,Business Administration-050500,54,53,50,98.15%,92.59%,66,62,59,93.94%,89.39%,Citrus Total
9,"Business and Commerce, General-050100",31,30,28,96.77%,90.32%,34,34,30,100.00%,88.24%,Citrus Total
10,Real Estate-051100,4,4,1,100.00%,25.00%,10,10,8,100.00%,80.00%,Citrus Total
11,Small Business and Entrepreneurship-050640,3,2,1,66.67%,33.33%,4,3,2,75.00%,50.00%,Citrus Total
12,Clovis Total,"1,619","1,511","1,237",93.33%,76.41%,"1,287","1,185",961,92.07%,74.67%,Clovis Total
13,Delayed Interaction (Internet Based) Total,"1,140","1,067",893,93.60%,78.33%,998,923,767,92.48%,76.85%,Clovis Total
14,Accounting-050200,318,294,244,92.45%,76.73%,247,216,178,87.45%,72.06%,Clovis Total
15,Banking and Finance-050400,33,27,20,81.82%,60.61%,30,27,24,90.00%,80.00%,Clovis Total
16,"Business and Commerce, General-050100",120,112,96,93.33%,80.00%,37,36,31,97.30%,83.78%,Clovis Total
17,Business Management-050600,456,426,362,93.42%,79.39%,512,486,414,94.92%,80.86%,Clovis Total
18,Marketing and Distribution-050900,0,0,0,0,0,32,27,18,84.38%,56.25%,Clovis Total
19,Medical Office Technology-051420,155,152,134,98.06%,86.45%,92,85,67,92.39%,72.83%,Clovis Total
20,Office Technology/Office Computer Applications-051400,0,0,0,0,0,25,23,19,92.00%,76.00%,Clovis Total
21,Small Business and Entrepreneurship-050640,37,35,22,94.59%,59.46%,23,23,16,100.00%,69.57%,Clovis Total
22,Tax Studies-050210,21,21,15,100.00%,71.43%,0,0,0,0,0,Clovis Total
23,Non Distance Education Methods Total,479,444,344,92.69%,71.82%,289,262,194,90.66%,67.13%,Clovis Total
24,Accounting-050200,103,95,68,92.23%,66.02%,84,79,63,94.05%,75.00%,Clovis Total
25,"Business and Commerce, General-050100",20,18,15,90.00%,75.00%,38,33,21,86.84%,55.26%,Clovis Total
26,Business Management-050600,315,293,229,93.02%,72.70%,167,150,110,89.82%,65.87%,Clovis Total
27,Medical Office Technology-051420,26,25,24,96.15%,92.31%,0,0,0,0,0,Clovis Total
28,Tax Studies-050210,15,13,8,86.67%,53.33%,0,0,0,0,0,Clovis Total
29,Coastline Total,"1,927","1,631","1,324",84.64%,68.71%,"2,112","1,772","1,418",83.90%,67.14%,Coastline Total
30,Delayed Interaction (Internet Based) Total,"1,115",948,820,85.02%,73.54%,"1,237","1,025",874,82.86%,70.65%,Coastline Total
31,Accounting-050200,430,332,269,77.21%,62.56%,398,332,264,83.42%,66.33%,Coastline Total
32,Business Administration-050500,102,92,91,90.20%,89.22%,151,140,134,92.72%,88.74%,Coastline Total
33,"Business and Commerce, General-050100",156,134,115,85.90%,73.72%,166,126,110,75.90%,66.27%,Coastline Total
34,International Business and Trade-050800,0,0,0,0,0,27,6,5,22.22%,18.52%,Coastline Total
35,Logistics and Materials Transportation-051000,17,14,14,82.35%,82.35%,17,16,14,94.12%,82.35%,Coastline Total
36,Management Development and Supervision-050630,80,75,67,93.75%,83.75%,121,104,96,85.95%,79.34%,Coastline Total
37,Marketing and Distribution-050900,38,33,30,86.84%,78.95%,36,30,24,83.33%,66.67%,Coastline Total
38,Medical Office Technology-051420,148,139,125,93.92%,84.46%,140,131,119,93.57%,85.00%,Coastline Total
39,Office Technology/Office Computer Applications-051400,28,27,22,96.43%,78.57%,29,27,21,93.10%,72.41%,Coastline Total
40,Real Estate-051100,97,90,77,92.78%,79.38%,107,92,70,85.98%,65.42%,Coastline Total
41,Small Business and Entrepreneurship-050640,19,12,10,63.16%,52.63%,45,21,17,46.67%,37.78%,Coastline Total
42,Non Distance Education Methods Total,3,2,1,66.67%,33.33%,9,7,7,77.78%,77.78%,Coastline Total
43,Accounting-050200,0,0,0,0,0,7,6,6,85.71%,85.71%,Coastline Total
44,"Business and Commerce, General-050100",3,2,1,66.67%,33.33%,2,1,1,50.00%,50.00%,Coastline Total
45,"Video one-way (e.g. ITV, video cassette, etc.) Total",809,681,503,84.18%,62.18%,866,740,537,85.45%,62.01%,"Video one-way (e.g. ITV, video cassette, etc.) Total"
46,Business Administration-050500,0,0,0,0,0,224,197,170,87.95%,75.89%,"Video one-way (e.g. ITV, video cassette, etc.) Total"
47,"Business and Commerce, General-050100",228,195,106,85.53%,46.49%,143,114,51,79.72%,35.66%,"Video one-way (e.g. ITV, video cassette, etc.) Total"
48,Management Development and Supervision-050630,250,208,183,83.20%,73.20%,0,0,0,0,0,"Video one-way (e.g. ITV, video cassette, etc.) Total"
49,Marketing and Distribution-050900,159,137,112,86.16%,70.44%,251,218,176,86.85%,70.12%,"Video one-way (e.g. ITV, video cassette, etc.) Total"
0,Small Business and Entrepreneurship-050640,172,141,102,81.98%,59.30%,248,211,140,85.08%,56.45%,"Video one-way (e.g. ITV, video cassette, etc.) Total"
1,Columbia Total,608,554,510,91.12%,83.88%,513,473,430,92.20%,83.82%,Columbia Total
2,Delayed Interaction (Internet Based) Total,224,193,155,86.16%,69.20%,200,167,140,83.50%,70.00%,Columbia Total
3,Accounting-050200,12,9,5,75.00%,41.67%,10,9,8,90.00%,80.00%,Columbia Total
4,Business Administration-050500,109,99,76,90.83%,69.72%,76,62,59,81.58%,77.63%,Columbia Total
5,"Business and Commerce, General-050100",103,85,74,82.52%,71.84%,114,96,73,84.21%,64.04%,Columbia Total
6,Non Distance Education Methods Total,384,361,355,94.01%,92.45%,313,306,290,97.76%,92.65%,Columbia Total
7,Accounting-050200,38,36,36,94.74%,94.74%,0,0,0,0,0,Columbia Total
8,Business Administration-050500,0,0,0,0,0,13,13,12,100.00%,92.31%,Columbia Total
9,"Business and Commerce, General-050100",82,71,66,86.59%,80.49%,71,69,66,97.18%,92.96%,Columbia Total
10,Business Management-050600,152,152,152,100.00%,100.00%,141,140,140,99.29%,99.29%,Columbia Total
11,Small Business and Entrepreneurship-050640,112,102,101,91.07%,90.18%,76,74,64,97.37%,84.21%,Columbia Total
12,Tax Studies-050210,0,0,0,0,0,12,10,8,83.33%,66.67%,Columbia Total
13,Compton Total,408,339,295,83.09%,72.30%,321,248,206,77.26%,64.17%,Compton Total
14,Delayed Interaction (Internet Based) Total,112,85,72,75.89%,64.29%,146,101,89,69.18%,60.96%,Compton Total
15,Business Administration-050500,24,21,18,87.50%,75.00%,0,0,0,0,0,Compton Total
16,Business Management-050600,0,0,0,0,0,82,46,34,56.10%,41.46%,Compton Total
17,Management Development and Supervision-050630,53,29,19,54.72%,35.85%,24,16,16,66.67%,66.67%,Compton Total
18,Real Estate-051100,35,35,35,100.00%,100.00%,40,39,39,97.50%,97.50%,Compton Total
19,Non Distance Education Methods Total,296,254,223,85.81%,75.34%,175,147,117,84.00%,66.86%,Compton Total
20,Accounting-050200,70,56,38,80.00%,54.29%,60,55,43,91.67%,71.67%,Compton Total
21,Banking and Finance-050400,4,2,1,50.00%,25.00%,0,0,0,0,0,Compton Total
22,Business Management-050600,71,64,61,90.14%,85.92%,15,8,5,53.33%,33.33%,Compton Total
23,Marketing and Distribution-050900,0,0,0,0,0,67,65,50,97.01%,74.63%,Compton Total
24,Real Estate-051100,63,49,46,77.78%,73.02%,11,7,7,63.64%,63.64%,Compton Total
25,Small Business and Entrepreneurship-050640,88,83,77,94.32%,87.50%,22,12,12,54.55%,54.55%,Compton Total
26,Contra Costa Total,"1,946","1,730","1,354",88.90%,69.58%,987,899,765,91.08%,77.51%,Contra Costa Total
27,Delayed Interaction (Internet Based) Total,"1,334","1,192",918,89.36%,68.82%,776,707,606,91.11%,78.09%,Contra Costa Total
28,Accounting-050200,418,384,310,91.87%,74.16%,236,222,188,94.07%,79.66%,Contra Costa Total
29,Business Administration-050500,362,322,256,88.95%,70.72%,231,213,194,92.21%,83.98%,Contra Costa Total
30,Business Management-050600,74,66,52,89.19%,70.27%,32,32,27,100.00%,84.38%,Contra Costa Total
31,Office Technology/Office Computer Applications-051400,130,116,84,89.23%,64.62%,85,76,58,89.41%,68.24%,Contra Costa Total
32,Real Estate-051100,314,276,192,87.90%,61.15%,164,145,121,88.41%,73.78%,Contra Costa Total
33,Small Business and Entrepreneurship-050640,36,28,24,77.78%,66.67%,28,19,18,67.86%,64.29%,Contra Costa Total
34,Non Distance Education Methods Total,524,464,402,88.55%,76.72%,174,157,131,90.23%,75.29%,Contra Costa Total
35,Accounting-050200,48,48,48,100.00%,100.00%,22,21,20,95.45%,90.91%,Contra Costa Total
36,Business Administration-050500,258,216,174,83.72%,67.44%,57,49,32,85.96%,56.14%,Contra Costa Total
37,Business Management-050600,34,34,30,100.00%,88.24%,34,34,34,100.00%,100.00%,Contra Costa Total
38,Office Technology/Office Computer Applications-051400,124,120,108,96.77%,87.10%,44,44,36,100.00%,81.82%,Contra Costa Total
39,Real Estate-051100,60,46,42,76.67%,70.00%,17,9,9,52.94%,52.94%,Contra Costa Total
40,Simultaneous Interaction (Internet Based) Total,88,74,34,84.09%,38.64%,37,35,28,94.59%,75.68%,Contra Costa Total
41,Business Administration-050500,88,74,34,84.09%,38.64%,19,17,16,89.47%,84.21%,Contra Costa Total
42,Business Management-050600,0,0,0,0,0,18,18,12,100.00%,66.67%,Contra Costa Total
43,Copper Mountain Total,656,564,496,85.98%,75.61%,142,117,95,82.39%,66.90%,Copper Mountain Total
44,Delayed Interaction (Internet Based) Total,480,404,336,84.17%,70.00%,119,100,79,84.03%,66.39%,Copper Mountain Total
45,Accounting-050200,64,56,56,87.50%,87.50%,15,11,6,73.33%,40.00%,Copper Mountain Total
46,Business Administration-050500,116,100,84,86.21%,72.41%,26,24,21,92.31%,80.77%,Copper Mountain Total
47,"Business and Commerce, General-050100",156,116,80,74.36%,51.28%,44,38,29,86.36%,65.91%,Copper Mountain Total
48,Business Management-050600,0,0,0,0,0,15,10,7,66.67%,46.67%,Copper Mountain Total
49,Marketing and Distribution-050900,48,44,32,91.67%,66.67%,0,0,0,0,0,Copper Mountain Total
0,Office Technology/Office Computer Applications-051400,20,12,12,60.00%,60.00%,0,0,0,0,0,Copper Mountain Total
1,Real Estate-051100,52,52,48,100.00%,92.31%,18,16,15,88.89%,83.33%,Copper Mountain Total
2,Tax Studies-050210,24,24,24,100.00%,100.00%,1,1,1,100.00%,100.00%,Copper Mountain Total
3,Non Distance Education Methods Total,176,160,160,90.91%,90.91%,23,17,16,73.91%,69.57%,Copper Mountain Total
4,Accounting-050200,176,160,160,90.91%,90.91%,23,17,16,73.91%,69.57%,Copper Mountain Total
5,Cosumnes River Total,"2,413","2,153","1,884",89.23%,78.08%,"2,123","1,878","1,612",88.46%,75.93%,Cosumnes River Total
6,Delayed Interaction (Internet Based) Total,"1,970","1,769","1,565",89.80%,79.44%,"1,976","1,744","1,505",88.26%,76.16%,Cosumnes River Total
7,Accounting-050200,809,730,688,90.23%,85.04%,755,662,615,87.68%,81.46%,Cosumnes River Total
8,Advertising-050910,0,0,0,0,0,37,33,31,89.19%,83.78%,Cosumnes River Total
9,Business Administration-050500,252,231,217,91.67%,86.11%,289,259,233,89.62%,80.62%,Cosumnes River Total
10,"Business and Commerce, General-050100",446,399,327,89.46%,73.32%,500,453,367,90.60%,73.40%,Cosumnes River Total
11,Business Management-050600,42,38,37,90.48%,88.10%,34,31,31,91.18%,91.18%,Cosumnes River Total
12,E-Commerce (Business emphasis)-050970,34,29,23,85.29%,67.65%,18,15,11,83.33%,61.11%,Cosumnes River Total
13,Management Development and Supervision-050630,22,20,18,90.91%,81.82%,0,0,0,0,0,Cosumnes River Total
14,Marketing and Distribution-050900,79,76,61,96.20%,77.22%,72,67,50,93.06%,69.44%,Cosumnes River Total
15,Office Technology/Office Computer Applications-051400,29,26,21,89.66%,72.41%,44,26,17,59.09%,38.64%,Cosumnes River Total
16,Real Estate-051100,167,141,111,84.43%,66.47%,135,118,95,87.41%,70.37%,Cosumnes River Total
17,Sales and Salesmanship-050940,32,27,22,84.38%,68.75%,0,0,0,0,0,Cosumnes River Total
18,Small Business and Entrepreneurship-050640,58,52,40,89.66%,68.97%,92,80,55,86.96%,59.78%,Cosumnes River Total
19,Non Distance Education Methods Total,443,384,319,86.68%,72.01%,147,134,107,91.16%,72.79%,Cosumnes River Total
20,Accounting-050200,83,70,56,84.34%,67.47%,2,2,2,100.00%,100.00%,Cosumnes River Total
21,Business Administration-050500,77,71,64,92.21%,83.12%,43,42,34,97.67%,79.07%,Cosumnes River Total
22,"Business and Commerce, General-050100",239,204,174,85.36%,72.80%,84,74,56,88.10%,66.67%,Cosumnes River Total
23,Real Estate-051100,19,16,14,84.21%,73.68%,18,16,15,88.89%,83.33%,Cosumnes River Total
24,Small Business and Entrepreneurship-050640,25,23,11,92.00%,44.00%,0,0,0,0,0,Cosumnes River Total
25,Crafton Hills Total,871,757,627,86.91%,71.99%,800,736,595,92.00%,74.38%,Crafton Hills Total
26,Delayed Interaction (Internet Based) Total,681,594,488,87.22%,71.66%,650,594,483,91.38%,74.31%,Crafton Hills Total
27,Accounting-050200,201,176,155,87.56%,77.11%,186,173,151,93.01%,81.18%,Crafton Hills Total
28,"Business and Commerce, General-050100",244,213,164,87.30%,67.21%,234,208,154,88.89%,65.81%,Crafton Hills Total
29,Business Management-050600,181,160,137,88.40%,75.69%,168,157,135,93.45%,80.36%,Crafton Hills Total
30,Marketing and Distribution-050900,55,45,32,81.82%,58.18%,62,56,43,90.32%,69.35%,Crafton Hills Total
31,Non Distance Education Methods Total,124,106,87,85.48%,70.16%,59,55,42,93.22%,71.19%,Crafton Hills Total
32,"Business and Commerce, General-050100",102,93,79,91.18%,77.45%,24,21,16,87.50%,66.67%,Crafton Hills Total
33,Business Management-050600,0,0,0,0,0,35,34,26,97.14%,74.29%,Crafton Hills Total
34,Marketing and Distribution-050900,14,11,6,78.57%,42.86%,0,0,0,0,0,Crafton Hills Total
35,Office Technology/Office Computer Applications-051400,8,2,2,25.00%,25.00%,0,0,0,0,0,Crafton Hills Total
36,Simultaneous Interaction (Internet Based) Total,55,49,44,89.09%,80.00%,91,87,70,95.60%,76.92%,Crafton Hills Total
37,Accounting-050200,40,34,33,85.00%,82.50%,67,65,50,97.01%,74.63%,Crafton Hills Total
38,"Business and Commerce, General-050100",15,15,11,100.00%,73.33%,24,22,20,91.67%,83.33%,Crafton Hills Total
39,Two-way interactive video and audio Total,11,8,8,72.73%,72.73%,0,0,0,0,0,Two-way interactive video and audio Total
40,"Business and Commerce, General-050100",11,8,8,72.73%,72.73%,0,0,0,0,0,Two-way interactive video and audio Total
41,Cuesta Total,"1,805","1,663","1,429",92.13%,79.17%,"1,698","1,602","1,386",94.35%,81.63%,Cuesta Total
42,Delayed Interaction (Internet Based) Total,780,668,538,85.64%,68.97%,716,649,535,90.64%,74.72%,Cuesta Total
43,Accounting-050200,233,198,172,84.98%,73.82%,238,209,177,87.82%,74.37%,Cuesta Total
44,Business Administration-050500,129,105,78,81.40%,60.47%,63,59,44,93.65%,69.84%,Cuesta Total
45,Business Management-050600,195,168,141,86.15%,72.31%,151,144,112,95.36%,74.17%,Cuesta Total
46,Customer Service-051800,2,2,2,100.00%,100.00%,0,0,0,0,0,Cuesta Total
47,E-Commerce (Business emphasis)-050970,94,83,52,88.30%,55.32%,102,95,75,93.14%,73.53%,Cuesta Total
48,Marketing and Distribution-050900,34,28,21,82.35%,61.76%,21,19,17,90.48%,80.95%,Cuesta Total
49,Office Technology/Office Computer Applications-051400,93,84,72,90.32%,77.42%,115,99,93,86.09%,80.87%,Cuesta Total
0,Small Business and Entrepreneurship-050640,0,0,0,0,0,26,24,17,92.31%,65.38%,Cuesta Total
